license_no,latitude,longitude,GEOID
101016259,37.560253143300002,-77.450546264600007,5103
101016260,38.767784118700000,-77.161331176800005,5108
101016313,38.841438293499998,-77.108116149899999,5108
101016325,37.139495849600003,-76.510551452599998,5102
101016411,38.426010131799998,-78.855117797899993,5106
101016412,38.848644256599997,-77.077156066900002,5108
101016417,38.037075042700003,-79.025146484399997,5106
101016454,37.590881347699998,-77.530876159700000,5107
101016462,37.630584716800001,-77.527626037600001,5107
101016485,36.827606201199998,-76.408607482899995,5104
101016545,37.071582794199998,-76.479804992699997,5102
101016600,36.882190704300001,-76.282005310100004,5103
101016614,37.095954894999998,-76.468978881799998,5102
101016636,36.862564086900001,-76.304977417000003,5103
101016678,38.908050537100003,-77.214523315400001,5108
101016768,39.115470886200001,-78.156517028799996,5110
101016771,37.088935852100001,-76.464035034199995,5102
101016773,37.161712646500000,-82.450912475600006,5109
101016787,38.313812255899997,-77.469009399399994,5101
101016823,37.415737152100000,-79.144546508800005,5106
101016834,37.399379730200003,-79.207237243700007,5106
101016837,37.202827453600001,-76.495582580600001,5101
101016858,37.584083557100001,-77.513465881299993,5107
101016863,36.853534698499999,-76.387344360399993,5103
101016879,37.540802002000000,-77.431541442899999,5103
101016900,38.428920745799999,-78.853721618700007,5106
101016907,37.413520812999998,-79.178291320800000,5106
101016908,37.264656066900002,-80.003540039100002,5106
101016917,37.147041320800000,-80.413352966299996,5109
101016922,37.603527069099997,-77.544258117699997,5107
101016928,37.272960662800003,-79.437103271500007,5105
101016940,37.602066039999997,-77.515136718799994,5107
101017012,38.094223022500003,-78.980934143100001,5106
101017020,38.050510406500003,-78.603546142599996,5105
101017060,38.867851257300003,-77.140716552699999,5108
101017071,38.812267303500001,-77.045509338399995,5108
101017073,38.833347320599998,-77.116294860799997,5108
101017267,38.050243377699999,-78.524406433099998,5105
101017284,38.889118194600002,-77.128646850600006,5108
101017305,36.864898681600003,-76.031120300300003,5102
101017318,36.852310180700002,-76.258972168000000,5103
101017328,37.623100280800003,-77.555839538599997,5107
101017392,37.559803008999999,-77.489913940400001,5107
101017406,36.690624237100003,-76.938720703100003,5104
101017408,37.233467102100001,-80.010589599599996,5106
101017412,37.416591644299999,-79.151939392100005,5106
101017434,37.304561614999997,-77.293067932100001,5104
101017484,38.967262268100001,-77.379264831499995,5111
101017492,37.603973388699998,-77.560005188000005,5107
101017504,38.151935577400003,-79.058914184599999,5106
101017524,36.848037719700002,-81.496147155800003,5109
101017584,36.868263244600001,-81.512107849100005,5109
101017612,37.783332824699997,-79.449653625500005,5106
101017777,37.304630279500003,-79.968002319299998,5106
101017795,38.962356567400001,-77.364555358900006,5111
101017799,38.861858367899998,-77.129180908199999,5108
101017804,38.882888793900001,-77.170265197800006,5108
101017885,36.711502075200002,-78.909004211400003,5105
101017904,37.251770019500000,-79.943260192899999,5106
101017915,38.739238739000001,-77.074264526400000,5108
101017919,37.220256805399998,-77.400375366199995,5103
101017922,37.554019928000002,-77.475051879899993,5103
101017923,36.875995635999999,-82.758193969700002,5109
101017927,38.809379577599998,-77.256797790500002,5111
101017950,37.580333709700000,-77.549652099599996,5107
101018020,38.854076385500001,-77.223358154300001,5111
101018025,38.309432983400001,-77.482719421400006,5101
101018033,37.276111602800000,-80.024574279800007,5109
101018042,38.361942291299997,-78.773941039999997,5106
101018072,38.046440124500002,-78.517936706499995,5105
101018075,37.276351928700002,-80.024063110399993,5109
101018078,38.831008911100000,-77.204704284700000,5111
101018092,36.857501983600002,-76.176902771000002,5102
101018138,36.866138458300000,-76.130760192899999,5102
101018187,37.496192932100001,-77.466331481899999,5103
101018241,38.637619018599999,-77.285072326700003,5111
101018324,38.313812255899997,-77.469009399399994,5101
101018338,36.737510681200000,-79.960762023900003,5109
101018413,38.824748992899998,-77.106178283700004,5108
101018426,37.493537902800000,-77.470291137700002,5103
101018446,38.785503387500000,-77.182441711400003,5108
101018449,38.846195220900000,-77.248893737800003,5111
101018451,38.878986358600002,-77.186988830600001,5108
101018483,36.855506896999998,-76.412231445299994,5104
101018519,38.828292846700002,-77.085205078100003,5108
101018544,37.264190673800002,-79.941169738799999,5106
101018545,37.264545440699997,-80.030761718799994,5109
101018550,37.239349365199999,-77.348777771000002,5103
101018553,36.878684997599997,-76.207237243700007,5102
101018611,37.779464721700002,-79.442810058600003,5106
101018630,36.836441039999997,-76.348480224599996,5103
101018672,37.541057586699999,-77.566513061500004,5107
101018694,37.604881286599998,-77.533828735399993,5107
101018707,38.309196472200000,-77.482940673800002,5101
101018720,38.309055328399999,-77.488151550300003,5101
101018732,38.963405609100001,-77.364692688000005,5111
101018754,38.428138732900003,-78.853744506799998,5106
101018777,38.949634551999999,-77.342308044399999,5111
101018861,37.279762268100001,-76.725250244099996,5101
101018862,37.638282775900002,-77.569541931200007,5107
101018892,37.568576812700002,-77.432884216299996,5103
101018898,38.840526580800002,-77.117149353000002,5108
101018916,38.094188690199999,-78.985557556200007,5106
101018920,38.888942718499997,-77.128585815400001,5108
101019015,38.871089935299999,-77.368644714400006,5110
101019040,38.804374694800003,-77.042663574200006,5108
101019049,36.863624572799999,-76.026290893600006,5102
101019076,38.935142517099997,-77.135589599599996,5110
101019083,36.853691101099997,-76.292381286600005,5103
101019085,38.882930755600000,-77.106323242200006,5108
101019098,38.864997863799999,-77.231391906699997,5111
101019154,38.848644256599997,-77.077156066900002,5108
101019193,37.544281005899997,-77.431472778300005,5103
101019205,37.267406463599997,-77.399734497099999,5104
101019213,37.554256439200003,-77.472724914599993,5103
101019224,36.690628051799997,-76.938705444299998,5104
101019234,38.781677246100003,-77.232650756799998,5111
101019245,36.690624237100003,-76.938728332500006,5104
101019265,37.626430511499997,-77.549316406299994,5107
101019274,37.469257354699998,-77.534873962399999,5107
101019280,37.521194457999997,-77.351486206100006,5103
101019282,36.673210144000002,-80.918365478499993,5109
101019283,37.610153198200003,-77.562332153300005,5107
101019297,37.927722930900003,-76.859062194800003,5101
101019324,37.261924743700000,-79.941810607899995,5106
101019333,37.558135986300002,-77.488243103000002,5103
101019342,37.493919372599997,-77.556739807100001,5107
101019345,38.309139251700003,-77.478134155299998,5101
101019363,37.788536071800003,-79.989456176800005,5109
101019370,36.949851989700001,-81.110237121599994,5109
