id	school_name	school_type
59	"State University of New York (SUNY) Upstate Medical University  - Syracuse NY"	med
22	"Weill Medical College of Cornell University - New York NY"	med
23	"Marshall University Joan C. Edwards School of Medicine - Huntington WV"	med
48	"Northwestern University, Feinberg School of Medicine - Chicago IL"	med
98	"UMDNJ-Robert Wood Johnson Medical School - Piscataway/New Brunswick/Camden NJ"	med
84	"University of Chicago Pritzker School of Medicine - Chicago IL"	med
122	"University of Tennessee Health Science Center College of Medicine - Memphis TN"	med
124	"University of Texas Southwestern Medical Center at Dallas - Dallas TX"	med
31	"Drexel University College of Medicine - Philadelphia PA"	med
102	"University of Minnesota Medical School - Duluth - Duluth MN"	med
65	"Texas A & M University System Health Science Center College of Medicine - College Station TX"	med
64	"Brody School of Medicine at East Carolina University - Greenville NC"	med
343	"California School of Podiatric Medicine at Samuel Merritt College - Oakland CA"	pod
345	"Dr. William M. Scholl College of Podiatric Medicine at Rosalind Franklin University of Medicine and Science - North Chicago IL"	pod
262	"Touro University College of Osteopathic Medicine - CA - Vallejo CA"	ost
252	"A. T. Still University of Health Sciences Kirksville College of Osteopathic Medicine - Kirksville MO"	ost
253	"Lake Erie College of Osteopathic Medicine - Erie - Erie PA"	ost
269	"Lake Erie College of Osteopathic Medicine - Bradenton - Bradenton FL"	ost
270	"Touro University College of Osteopathic Medicine - Henderson NV"	ost
272	"Alabama College of Osteopathic Medicine- Dothan AL"	ost
273	"AT Still University of Health Sciences, School of Osteopathic Medicine in Arizona - Mesa AZ"	ost
274	"Campbell University, School of Osteopathic Medicine - Buies Creek NC"	ost
275	"Edward Via College of Osteopathic Medicine - Carolinas Campus - Spartanburg SC"	ost
276	"Marian University, College of Osteopathic Medicine - Indianapolis IN"	ost
277	"Pacific Northwest University of Health Sciences, College of Osteopathic Medicine - Yakima WA"	ost
278	"Philadelphia College of Osteopathic Medicine Georgia Campus - Suwanee GA"	ost
279	"Rocky Vista University College of Osteopathic Medicine - Parker CO"	ost
280	"Touro College of Osteopathic Medicine - New York NY"	ost
281	"William Carey University, College of Osteopathic Medicine - Hattiesburg MS"	ost
